# date=2026-09-16T00:59:06,gpu=NVIDIA GeForce RTX 3090,driver=616.56,git=6a86c42+dirty,args=--n 8..26
impl,op,n,block_size,run,ms,ok
naive,scan,262144,32,4,0.379008,1
naive,scan,524288,32,0,0.282784,1
naive,scan,524288,32,1,0.371840,1
naive,scan,524288,32,2,0.404416,1
naive,scan,524288,32,3,0.287744,1
naive,scan,524288,32,4,0.282592,1
naive,scan,1048576,32,0,0.530432,1
naive,scan,1048576,32,1,0.849824,1
naive,scan,1048576,32,2,0.610112,1
naive,scan,1048576,32,3,0.524704,1
naive,scan,1048576,32,4,0.526560,1
naive,scan,2097152,32,0,0.982688,1
naive,scan,2097152,32,1,1.314784,1
naive,scan,2097152,32,2,1.378112,1
naive,scan,2097152,32,3,0.983424,1
naive,scan,2097152,32,4,0.981952,1
naive,scan,4194304,32,0,1.958528,1
naive,scan,4194304,32,1,2.039808,1
naive,scan,4194304,32,2,1.953184,1
naive,scan,4194304,32,3,1.954208,1
naive,scan,4194304,32,4,1.953312,1
naive,scan,8388608,32,0,3.982528,1
naive,scan,8388608,32,1,4.469440,1
naive,scan,8388608,32,2,3.992192,1
naive,scan,8388608,32,3,4.820608,1
naive,scan,8388608,32,4,3.985920,1
naive,scan,16777216,32,0,7.610528,1
naive,scan,16777216,32,1,7.686080,1
naive,scan,16777216,32,2,8.395168,1
naive,scan,16777216,32,3,7.604320,1
naive,scan,16777216,32,4,7.601792,1
naive,scan,33554432,32,0,15.746144,1
naive,scan,33554432,32,1,15.818976,1
naive,scan,33554432,32,2,15.728256,1
naive,scan,33554432,32,3,15.740384,1
naive,scan,33554432,32,4,15.759872,1
naive,scan,67108864,32,0,32.703327,1
naive,scan,67108864,32,1,32.782112,1
naive,scan,67108864,32,2,32.704479,1
naive,scan,67108864,32,3,32.707935,1
naive,scan,67108864,32,4,32.707935,1
naive,scan,256,64,0,0.057344,1
naive,scan,256,64,1,0.061440,1
naive,scan,256,64,2,0.058368,1
naive,scan,256,64,3,0.058368,1
naive,scan,256,64,4,0.058240,1
naive,scan,512,64,0,0.059392,1
naive,scan,512,64,1,0.023552,1
naive,scan,512,64,2,0.087040,1
naive,scan,512,64,3,0.027648,1
naive,scan,512,64,4,0.076800,1
naive,scan,1024,64,0,0.076576,1
naive,scan,1024,64,1,0.075776,1
naive,scan,1024,64,2,0.091040,1
naive,scan,1024,64,3,0.074752,1
naive,scan,1024,64,4,0.107520,1
naive,scan,2048,64,0,0.074752,1
naive,scan,2048,64,1,0.067456,1
naive,scan,2048,64,2,0.085856,1
naive,scan,2048,64,3,0.115712,1
naive,scan,2048,64,4,0.078848,1
naive,scan,4096,64,0,0.075776,1
naive,scan,4096,64,1,0.061440,1
naive,scan,4096,64,2,0.095232,1
naive,scan,4096,64,3,0.076800,1
naive,scan,4096,64,4,0.076800,1
naive,scan,8192,64,0,0.089088,1
naive,scan,8192,64,1,0.136192,1
naive,scan,8192,64,2,0.120832,1
naive,scan,8192,64,3,0.090112,1
naive,scan,8192,64,4,0.432128,1
naive,scan,16384,64,0,0.168960,1
naive,scan,16384,64,1,0.166912,1
naive,scan,16384,64,2,0.093184,1
naive,scan,16384,64,3,0.092160,1
naive,scan,16384,64,4,0.091136,1
naive,scan,32768,64,0,0.159936,1
naive,scan,32768,64,1,0.461856,1
naive,scan,32768,64,2,0.185440,1
naive,scan,32768,64,3,0.160672,1
naive,scan,32768,64,4,0.196704,1
naive,scan,65536,64,0,0.119360,1
naive,scan,65536,64,1,0.207616,1
naive,scan,65536,64,2,0.124416,1
naive,scan,65536,64,3,0.255136,1
naive,scan,65536,64,4,0.125152,1
naive,scan,131072,64,0,0.128992,1
naive,scan,131072,64,1,0.211104,1
naive,scan,131072,64,2,0.129408,1
naive,scan,131072,64,3,0.127840,1
naive,scan,131072,64,4,0.394976,1
naive,scan,262144,64,0,0.177728,1
naive,scan,262144,64,1,0.240224,1
naive,scan,262144,64,2,0.202976,1
naive,scan,262144,64,3,0.168320,1
naive,scan,262144,64,4,0.308640,1
naive,scan,524288,64,0,0.191488,1
naive,scan,524288,64,1,0.301856,1
naive,scan,524288,64,2,0.307584,1
naive,scan,524288,64,3,0.288480,1
naive,scan,524288,64,4,0.203552,1
