# date=2026-09-16T00:34:14,gpu=NVIDIA GeForce RTX 3090,driver=616.56,git=6a86c42+dirty,args=--n 8..12 --repeats 2 --tag smoke
impl,op,n,block_size,run,ms,ok
naive,scan,4096,128,0,0.093184,1
naive,scan,4096,128,1,0.099104,1
naive,scan,256,256,0,0.070656,1
naive,scan,256,256,1,0.066560,1
naive,scan,512,256,0,0.083776,1
naive,scan,512,256,1,0.097280,1
naive,scan,1024,256,0,0.083968,1
naive,scan,1024,256,1,0.080864,1
naive,scan,2048,256,0,0.080896,1
naive,scan,2048,256,1,0.087040,1
naive,scan,4096,256,0,0.089920,1
naive,scan,4096,256,1,0.096256,1
naive,scan,256,512,0,0.101376,1
naive,scan,256,512,1,0.102400,1
naive,scan,512,512,0,0.088064,1
naive,scan,512,512,1,0.091136,1
naive,scan,1024,512,0,0.073728,1
naive,scan,1024,512,1,0.072704,1
naive,scan,2048,512,0,0.141312,1
naive,scan,2048,512,1,0.121856,1
naive,scan,4096,512,0,0.098304,1
naive,scan,4096,512,1,0.106496,1
naive,scan,256,1024,0,0.111616,1
naive,scan,256,1024,1,0.101376,1
naive,scan,512,1024,0,0.087936,1
naive,scan,512,1024,1,0.128832,1
naive,scan,1024,1024,0,0.090016,1
naive,scan,1024,1024,1,0.089088,1
naive,scan,2048,1024,0,0.100352,1
naive,scan,2048,1024,1,0.092160,1
naive,scan,4096,1024,0,0.093184,1
naive,scan,4096,1024,1,0.102624,1
efficient,scan,256,32,0,0.146432,1
efficient,scan,256,32,1,0.126976,1
efficient,scan,512,32,0,0.126976,1
efficient,scan,512,32,1,0.137216,1
efficient,scan,1024,32,0,0.128000,1
efficient,scan,1024,32,1,0.148480,1
efficient,scan,2048,32,0,0.159744,1
efficient,scan,2048,32,1,0.186368,1
efficient,scan,4096,32,0,0.155648,1
efficient,scan,4096,32,1,0.151552,1
efficient,scan,256,64,0,0.122880,1
efficient,scan,256,64,1,0.173056,1
efficient,scan,512,64,0,0.330752,1
efficient,scan,512,64,1,0.107520,1
efficient,scan,1024,64,0,0.103424,1
efficient,scan,1024,64,1,0.140288,1
efficient,scan,2048,64,0,0.212992,1
efficient,scan,2048,64,1,0.161792,1
efficient,scan,4096,64,0,0.187392,1
efficient,scan,4096,64,1,0.199680,1
efficient,scan,256,128,0,0.116736,1
efficient,scan,256,128,1,0.116736,1
efficient,scan,512,128,0,0.142336,1
efficient,scan,512,128,1,0.111616,1
efficient,scan,1024,128,0,0.135168,1
efficient,scan,1024,128,1,0.138240,1
efficient,scan,2048,128,0,0.183296,1
efficient,scan,2048,128,1,0.168960,1
efficient,scan,4096,128,0,0.171008,1
efficient,scan,4096,128,1,0.162816,1
efficient,scan,256,256,0,0.130048,1
efficient,scan,256,256,1,0.126976,1
efficient,scan,512,256,0,0.132096,1
efficient,scan,512,256,1,0.140288,1
efficient,scan,1024,256,0,0.139264,1
efficient,scan,1024,256,1,0.144384,1
efficient,scan,2048,256,0,0.187392,1
efficient,scan,2048,256,1,0.151552,1
efficient,scan,4096,256,0,0.172032,1
efficient,scan,4096,256,1,0.180224,1
efficient,scan,256,512,0,0.129024,1
efficient,scan,256,512,1,0.144384,1
efficient,scan,512,512,0,0.135168,1
efficient,scan,512,512,1,0.130048,1
efficient,scan,1024,512,0,0.168960,1
efficient,scan,1024,512,1,0.159744,1
efficient,scan,2048,512,0,0.159744,1
efficient,scan,2048,512,1,0.184320,1
efficient,scan,4096,512,0,0.169984,1
efficient,scan,4096,512,1,0.164864,1
efficient,scan,256,1024,0,0.130048,1
efficient,scan,256,1024,1,0.125952,1
efficient,scan,512,1024,0,0.153600,1
efficient,scan,512,1024,1,0.130048,1
efficient,scan,1024,1024,0,0.168960,1
efficient,scan,1024,1024,1,0.135168,1
efficient,scan,2048,1024,0,0.162816,1
efficient,scan,2048,1024,1,0.210944,1
efficient,scan,4096,1024,0,0.165888,1
efficient,scan,4096,1024,1,0.207872,1
efficient,compact,256,32,0,0.142336,1
efficient,compact,256,32,1,0.160768,1
efficient,compact,512,32,0,0.184320,1
efficient,compact,512,32,1,0.164064,1
efficient,compact,1024,32,0,0.215040,1
efficient,compact,1024,32,1,0.179200,1
efficient,compact,2048,32,0,0.242688,1
efficient,compact,2048,32,1,0.174080,1
efficient,compact,4096,32,0,0.194560,1
efficient,compact,4096,32,1,0.294944,1
efficient,compact,256,64,0,0.163840,1
efficient,compact,256,64,1,0.150528,1
efficient,compact,512,64,0,0.151552,1
efficient,compact,512,64,1,0.172192,1
efficient,compact,1024,64,0,0.169984,1
efficient,compact,1024,64,1,0.175104,1
efficient,compact,2048,64,0,0.201728,1
efficient,compact,2048,64,1,0.168960,1
efficient,compact,4096,64,0,0.202752,1
efficient,compact,4096,64,1,0.177152,1
efficient,compact,256,128,0,0.173056,1
efficient,compact,256,128,1,0.131072,1
efficient,compact,512,128,0,0.157696,1
efficient,compact,512,128,1,0.153600,1
efficient,compact,1024,128,0,0.186368,1
efficient,compact,1024,128,1,0.192512,1
efficient,compact,2048,128,0,0.182272,1
efficient,compact,2048,128,1,0.190464,1
